target_word,subcategory,final_generated_cue,image_prompt,raw_image_path,mobile_image_path,generation_status,error_message
摺衣服,動作,整理衣物，準備上床,"a realistic illustration of the action or activity 摺衣服, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\摺衣服.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\摺衣服.jpg,success,
打噴嚏,動作,早晨起床時，突然發出清脆的聲音,"a realistic illustration of the action or activity 打噴嚏, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\打噴嚏.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\打噴嚏.jpg,success,
煮飯,動作,早晨起床後，準備早餐，開始新的一天,"a realistic illustration of the action or activity 煮飯, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\煮飯.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\煮飯.jpg,success,
咳嗽,動作,咳嗚聲在喉嚨裡響起，開始了清嗓,"a realistic illustration of the action or activity 咳嗽, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\咳嗽.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\咳嗽.jpg,success,
綁鞋帶,動作,早晨起床後，準備好鞋子，將鞋帶打結,"a realistic illustration of the action or activity 綁鞋帶, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\綁鞋帶.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\綁鞋帶.jpg,success,
綁頭髮,動作,早晨起床後，梳洗打扮，整理髮型,"a realistic illustration of the action or activity 綁頭髮, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\綁頭髮.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\綁頭髮.jpg,success,
穿衣服,動作,早晨起床後，整理床鋪，準備開始新的一天,"a realistic illustration of the action or activity 穿衣服, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\穿衣服.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\穿衣服.jpg,success,
聊天,動作,準備與家人朋友交流，分享今天的好消息,"a realistic illustration of the action or activity 聊天, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\聊天.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\聊天.jpg,success,
拍照,動作,拍下全家福，留下美好記憶,"a realistic illustration of the action or activity 拍照, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\拍照.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\拍照.jpg,success,
擦眼鏡,動作,早晨起床後，先檢查鏡子，再擦拭眼鏡,"a realistic illustration of the action or activity 擦眼鏡, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\擦眼鏡.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\擦眼鏡.jpg,success,
刷牙,動作,,"a realistic illustration of the action or activity 刷牙, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\刷牙.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\刷牙.jpg,success,
開門,動作,,"a realistic illustration of the action or activity 開門, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\開門.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\開門.jpg,success,
貓,動物,"有時很黏人,有時愛獨處,個性多變","a realistic 貓, single subject, clean background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動物\貓.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\貓.jpg,success,
雞,動物,家禽，喜欢吃谷粒和虫子，有时候也会在地面上啄,"a realistic 雞, single subject, clean background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動物\雞.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\雞.jpg,success,
狗,動物,汪汪叫，跑在田野上，主人家裡會養,"a realistic 狗, single subject, clean background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動物\狗.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\狗.jpg,success,
豬,動物,有時會拱背，有時會哼唧，喜歡在田間,"a realistic 豬, single subject, clean background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動物\豬.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\豬.jpg,success,
牛,動物,有頭、有角、黑白相間，常在田間地頭,"a realistic 牛, single subject, clean background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動物\牛.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\牛.jpg,success,
紅茶,喝,飲料店裡有售红茶,"a realistic 紅茶, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\喝\紅茶.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\喝\紅茶.jpg,success,
珍珠奶茶,喝,,"a realistic 珍珠奶茶, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\喝\珍珠奶茶.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\喝\珍珠奶茶.jpg,success,
豆漿,喝,,"a realistic 豆漿, clear food or drink presentation, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\喝\豆漿.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\喝\豆漿.jpg,success,
公園,娛樂場所,遊樂區有秋千和沙坑，小朋友們愛玩其中,"a realistic scene of 公園, simple and clear environment, not crowded, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\娛樂場所\公園.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\娛樂場所\公園.jpg,success,
電影院,娛樂場所,,"a realistic scene of 電影院, simple and clear environment, not crowded, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\娛樂場所\電影院.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\娛樂場所\電影院.jpg,success,
圖書館,學校,在學校裡有一個地方供學生借閱書籍，那兒通常,"a realistic scene of 圖書館, simple and clear environment, not crowded, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\學校\圖書館.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\學校\圖書館.jpg,success,
桌子,家具,圍桌而坐，共進餐食,"a realistic 桌子, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\家具\桌子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\家具\桌子.jpg,success,
床,家具,,"a realistic 床, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\家具\床.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\家具\床.jpg,success,
衣櫃,家具,,"a realistic 衣櫃, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\家具\衣櫃.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\家具\衣櫃.jpg,success,
鏡子,家具,,"a realistic 鏡子, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\家具\鏡子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\家具\鏡子.jpg,success,
砧板,廚房用品,使用時保持平穩，輕輕敲打,"a realistic 砧板, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\廚房用品\砧板.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\廚房用品\砧板.jpg,success,
鍋子,廚房用品,使用時注意清洗，保持鍋內乾淨,"a realistic 鍋子, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\廚房用品\鍋子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\廚房用品\鍋子.jpg,success,
菜刀,廚房用品,使用時注意手勢和切割角度，確保安全與效果,"a realistic 菜刀, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\廚房用品\菜刀.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\廚房用品\菜刀.jpg,success,
原子筆,文具,輕輕一按，啟動智慧靈感,"a realistic 原子筆, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\文具\原子筆.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\文具\原子筆.jpg,success,
衣服,服飾&配件,冬天穿厚點保暖，夏天少穿露腳趾,"a realistic 衣服, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\服飾&配件\衣服.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\服飾&配件\衣服.jpg,success,
襪子,服飾&配件,冬天穿太多會累，夏天穿太少會熱,"a realistic 襪子, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\服飾&配件\襪子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\服飾&配件\襪子.jpg,success,
帽子,服飾&配件,,"a realistic 帽子, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\服飾&配件\帽子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\服飾&配件\帽子.jpg,success,
芒果,水果,帶有鮮艷黃色外皮和橙色斑點,"a realistic 芒果, single object, plain white background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\水果\芒果.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\芒果.jpg,success,
鳳梨,水果,帶有鮮艷的黃色外皮,"a realistic 鳳梨, single object, plain white background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\水果\鳳梨.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\鳳梨.jpg,success,
蘋果,水果,會在手中形成一個圓形,"a realistic 蘋果, single object, plain white background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\水果\蘋果.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\蘋果.jpg,success,
草莓,水果,帶有鮮艷紅色外皮和小巧圓潤形狀,"a realistic 草莓, single object, plain white background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\水果\草莓.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\草莓.jpg,success,
葡萄,水果,它的皮薄而多汁，常見於夏季餐桌上,"a realistic 葡萄, single object, plain white background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\水果\葡萄.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\葡萄.jpg,success,
香蕉,水果,皮膚光滑，黃色外觀，常成串販售,"a realistic 香蕉, single object, plain white background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\水果\香蕉.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\香蕉.jpg,success,
毛巾,生活用品,"需要定期晾曬,防止霉變","a realistic 毛巾, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\生活用品\毛巾.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\毛巾.jpg,success,
牙刷,生活用品,"需要定期更新,保持衛生","a realistic 牙刷, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\生活用品\牙刷.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\牙刷.jpg,success,
洗髮精,生活用品,"需要定期使用,保持頭髮健康","a realistic 洗髮精, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\生活用品\洗髮精.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\洗髮精.jpg,success,
剪刀,生活用品,"需要定期磨損,保持鋒利","a realistic 剪刀, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\生活用品\剪刀.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\剪刀.jpg,success,
衛生紙,生活用品,"需要隨時備份,保持乾淨","a realistic 衛生紙, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\生活用品\衛生紙.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\衛生紙.jpg,success,
傘,生活用品,"需要防風防水,方便攜帶出行","a realistic 傘, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\生活用品\傘.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\傘.jpg,success,
杯子,生活用品,"需要隨時喝水,保持水分","a realistic 杯子, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\生活用品\杯子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\杯子.jpg,success,
眼鏡,生活用品,需要保護眼睛免受疲勞,"a realistic 眼鏡, single main object, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\生活用品\眼鏡.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\眼鏡.jpg,success,
糖,調味,甜美的白色塊狀物，常被放入食物中增添味道,"a realistic 糖, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\調味\糖.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\調味\糖.jpg,success,
鹽,調味,,"a realistic 鹽, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\調味\鹽.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\調味\鹽.jpg,success,
輪椅,輔具,使用時調整座位高度，確保坐姿舒適,"a realistic 輪椅, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\輔具\輪椅.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\輪椅.jpg,success,
助聽器,輔具,需要定期調整音量調節旋鈕或連接線,"a realistic 助聽器, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\輔具\助聽器.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\助聽器.jpg,success,
護膝,輔具,適合行走不便或活動受限的人群使用,"a realistic 護膝, single clear subject, plain background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\輔具\護膝.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\護膝.jpg,success,
