target_word,subcategory,final_generated_cue,image_path
鳳梨,水果,帶有鮮艷的黃色外皮,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\鳳梨.jpg
傘,生活用品,"需要防風防水,方便攜帶出行",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\傘.jpg
剪刀,生活用品,"需要定期磨損,保持鋒利",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\剪刀.jpg
杯子,生活用品,"需要隨時喝水,保持水分",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\杯子.jpg
毛巾,生活用品,"需要定期晾曬,防止霉變",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\毛巾.jpg
洗髮精,生活用品,"需要定期使用,保持頭髮健康",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\洗髮精.jpg
牙刷,生活用品,"需要定期更新,保持衛生",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\牙刷.jpg
眼鏡,生活用品,需要保護眼睛免受疲勞,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\眼鏡.jpg
衛生紙,生活用品,"需要隨時備份,保持乾淨",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\生活用品\衛生紙.jpg
糖,調味,甜美的白色塊狀物，常被放入食物中增添味道,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\調味\糖.jpg
鹽,調味,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\調味\鹽.jpg
假牙,輔具,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\假牙.jpg
助聽器,輔具,需要定期調整音量調節旋鈕或連接線,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\助聽器.jpg
拐杖,輔具,需要定期檢查和調節松緊程度,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\拐杖.jpg
藥盒,輔具,需要定期檢查密封性，保持藥物干凈,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\藥盒.jpg
護膝,輔具,適合行走不便或活動受限的人群使用,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\護膝.jpg
輪椅,輔具,使用時調整座位高度，確保坐姿舒適,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\輔具\輪椅.jpg
操場,運動場所,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\運動場所\操場.jpg
游泳池,運動場所,在陽光下嬉戲，水中暢游,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\運動場所\游泳池.jpg
藥局,醫療場所,詢問失語症患者通常會使用哪些具體的語意提示,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\醫療場所\藥局.jpg
醫院,醫療場所,詢問失語症患者通常會使用哪些具體的語意提示,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\醫療場所\醫院.jpg
郵局,金融機構,透過信件和金錢交易，提供收發服務,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\金融機構\郵局.jpg
冰箱,電器用品,冷風、冷藏、旋轉、放置桌上,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\冰箱.jpg
冷氣,電器用品,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\冷氣.jpg
吸塵器,電器用品,旋轉手柄、吸盤、地面,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\吸塵器.jpg
吹風機,電器用品,夏天，厨房，挂牆，吹乾頭髮,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\吹風機.jpg
手機,電器用品,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\手機.jpg
插座,電器用品,插電、放在桌上、廚房常見,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\插座.jpg
洗衣機,電器用品,幫忙晾衣服、放桌上,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\洗衣機.jpg
烤箱,電器用品,爐子、放餐盤、做蛋糕,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\烤箱.jpg
熱水瓶,電器用品,蓋上蓋子，倒滿冷水，開始煮沸,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\熱水瓶.jpg
瓦斯爐,電器用品,火鍋、調味料、煮飯,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\瓦斯爐.jpg
除濕機,電器用品,冷風直吹，除濕效果佳,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\除濕機.jpg
電燈,電器用品,壁挂式、暖光、晚上使用,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電燈.jpg
電視,電器用品,視窗、安裝孔、顯示屏,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電視.jpg
電話,電器用品,手柄、連接線、插座,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電話.jpg
電鍋,電器用品,煮飯、加熱食物、炊事工具,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電鍋.jpg
電風扇,電器用品,吹風、清潔、擺放桌面,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\電器用品\電風扇.jpg
冰淇淋,食物,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\冰淇淋.jpg
吐司,食物,一種薄脆的面包片，通常搭配奶油或果酱食用,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\吐司.jpg
地瓜球,食物,一種圓形的小球狀食品,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\地瓜球.jpg
水餃,食物,一種皮薄馅大的食物,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\水餃.jpg
湯圓,食物,一種甜而不咸的小圓形食品,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\湯圓.jpg
漢堡,食物,一種肉質鮮嫩多汁的食物,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\漢堡.jpg
火鍋,食物,一種熱辣美味的鍋物,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\火鍋.jpg
牛肉麵,食物,一種紅色、長條形、略帶彈性的主食,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\牛肉麵.jpg
米,食物,一種由稻穀磨碎後加水蒸煮而成的主食,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\米.jpg
蛋糕,食物,一種由面粉和糖製作的甜品,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\蛋糕.jpg
蛋餅,食物,一種薄而脆的餅乾，通常搭配咸味或甜味的,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\蛋餅.jpg
豆腐,食物,一種由黄豆製成的塊狀食品,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\豆腐.jpg
豆花,食物,一種由大豆製成的冷飲，通常搭配冰糖和薄荷,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\豆花.jpg
雞排,食物,一種外觀呈片狀、金黃色的食品,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\雞排.jpg
飯糰,食物,一種由大米製成的主食,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\飯糰.jpg
麵,食物,一種由小麥製成的主食,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\食物\麵.jpg
叉子,餐具,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\餐具\叉子.jpg
湯匙,餐具,使用時輕拿輕放，保持平穩,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\餐具\湯匙.jpg
碗,餐具,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\餐具\碗.jpg
