ape_round,parent_prompt_id,prompt_id,prompt_family,prompt_text,target_word,pos,subcategory,reference_cue,generated_cue
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,剪刀,名詞,生活用品,大部分是塑膠手柄,"需要定期磨損,保持尖利"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,剪指甲,動詞,動作,需要使用專門的小工具,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,助聽器,名詞,輔具,需要定期更換電池或充電,需要定期調整音量或連接設備
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,原子筆,名詞,文具,按一下或轉一下可推出筆芯,輕巧易握，適合書寫和繪畫
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,叉子,名詞,餐具,兒童款的XX會比較圓潤,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,吃飯,動詞,動作,一天三餐,一天三餐
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,吐司,名詞,食物,拉肚子的時候會吃的,一種薄脆的早餐面包片
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,吸塵器,名詞,電器用品,分為無線與有線兩種,旋轉刷頭，吸塵除灰
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,吹風機,名詞,電器用品,"部分有折疊設計,方便攜帶",旋轉風扇，清潔空氣
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,咳嗽,動詞,動作,會泡陳皮和柿餅茶來緩解症狀,咳幾聲，讓痰排出
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,唱歌,動詞,休閒娛樂,"有時會搭配樂器,如吉他、鋼琴或卡拉OK伴奏","有時會唱伴奏,如吉他、鋼琴或卡拉OK"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,喝水,動詞,動作,有些人會加入檸檬等來增加味道,適宜時刻補充水分
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,圖書館,名詞,學校,有電腦可以查詢館藏資料,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,地瓜球,名詞,食物,"用紙袋裝,用竹籤戳著吃",
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,寫字,動詞,動作,學生上課時經常做的事情,將手放在紙上，開始書寫
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,帽子,名詞,服飾&配件,冬天的款式有時會加內襯,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,床,名詞,家具,"有收納空間,底下可以放東西",
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,手機,名詞,電器用品,耳機、充電線、網路,電話、通訊工具、行動聯絡人
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,打噴嚏,動詞,動作,生病時會更頻繁發生,打開鼻子，感受清新的氣息
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,打拳,動詞,休閒娛樂,XX能提升身體平衡感,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,拍照,動詞,動作,光線、角度和背景會影響結果,拍下照片，記錄美好瞬間
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,拐杖,名詞,輔具,有標準型、四腳型或摺疊款式,需要考慮跌倒風險或行走不便時使用
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,掃地,動詞,動作,"搭配拖地效果更好,讓地板變得更潔淨",將地面清理乾淨
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,插座,名詞,電器用品,通電,插頭、連接、電源
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,摩托車,名詞,交通工具,需要加汽油或電力才能運行,需要油箱和手把
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,摺衣服,動詞,動作,有些人會用專門的板子來幫助摺整齊,整理衣物，方便快速穿著
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,操場,名詞,運動場所,"有些設有夜間照明,方便晚間運動",
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,擦桌子,動詞,動作,在餐廳、學校、辦公室都很常見,輕輕擦拭桌面，保持清潔
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,擦汗,動詞,動作,用力過大可能會讓皮膚泛紅,擦掉額頭上的汗水
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,擦眼鏡,動詞,動作,太用力可能會導致損壞,檢查鏡子是否需要擦拭
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,散步,動詞,休閒娛樂,"天氣涼爽時會更舒服,避免烈日或下雨天",在公園裡慢跑或漫步
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,杯子,名詞,生活用品,有圓形的開口,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,桌子,名詞,家具,吃飯時大家會圍著它坐下來,圍繞著用餐的人們
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,機場,名詞,交通場所,內部有免稅商店和餐廳,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,毛巾,名詞,生活用品,"需要定期清洗,避免細菌孳生","需要定期清洗,避免細菌孳生"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,水餃,名詞,食物,"麵皮包著內餡,冷凍儲存",一種皮薄馅大的小吃
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,汽車,名詞,交通工具,需要加油才能行駛,需要油箱和引擎
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,泡茶,動詞,休閒娛樂,選擇合適的茶具與水質,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,洗澡,動詞,動作,讓身體保持乾淨清新的動作,準備泡澡水，舒緩身心
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,洗衣機,名詞,電器用品,會外接一根水管,會外接一根水管
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,洗髮精,名詞,生活用品,"有些標榜無矽靈,適合細軟髮或敏感頭皮",如何保持頭髮健康
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,游泳池,名詞,運動場所,比賽泳道通常是 50 公尺長,在陽光下嬉戲，在水中暢游
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,湯匙,名詞,餐具,"嬰兒用的特別小,邊緣圓滑,方便餵食",兒童款的XX會比較圓潤
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,湯圓,名詞,食物,一種由糯米粉製成的食品,一種甜糯的小團子
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,漢堡,名詞,食物,西式餐點,一種夾生肉的快餐餐點
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,火車,名詞,交通工具,"需要購票搭乘,有分自由座和對號座",需要購票才能上車
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,火鍋,名詞,食物,冬天或聚會時特別受歡迎,一鍋熱騰騰的食材盛宴
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,烤箱,名詞,電器用品,預熱、定時、溫度調整,開火、調溫、烘焙食物
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,煮飯,動詞,動作,要使用各種食材、廚具和調味料,準備熱騰騰的家常菜
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,熱水瓶,名詞,電器用品,煮沸後會跳起來,蓋子、內膽、溫度調節
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,牙刷,名詞,生活用品,"要定期更換,不然毛會變形","要定期更新,保持衛生"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,牛,名詞,動物,可做成肉乾食用,有角、四蹄、吃草、群居
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,牛肉麵,名詞,食物,台灣特色小吃,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,狗,名詞,動物,很多人家裡會養的動物,汪汪叫，主人家常帶它散步
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,珍珠奶茶,名詞,喝,自備飲料杯-5元,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,瓦斯爐,名詞,電器用品,鍋子、鍋鏟,使用火源烹煮食物
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,登山,動詞,休閒娛樂,"有可能會碰到熊,要有防熊噴霧",攀爬山峰，探索自然美景
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,白蘿蔔,名詞,蔬菜,冬天產季的特別甜,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,看書,動詞,休閒娛樂,會用手翻頁或摺角作為書籤,翻頁閱讀，享受靜態世界
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,看電視,動詞,休閒娛樂,用遙控器來切換頻道或調整音量,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,眼鏡,名詞,生活用品,"造型有圓的、方的,也有無框的","需要定期檢查,保持清晰視力"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,睡覺,動詞,動作,"適當的時間內完成這件事,有助於健康",適時休息，補充精力
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,砧板,名詞,廚房用品,"表面平整,不會卡住食材或殘渣","表面平整, 不會卡住食材或殘渣"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,碗,名詞,餐具,可以是陶瓷、不鏽鋼、塑膠或木頭材質製成的,"輕巧易抓握, 多用途盛裝餐點"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,穿衣服,動詞,動作,可以做不同的搭配,整理衣物，開始新的一天
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,穿鞋子,動詞,動作,"如果穿錯腳,會覺得不舒服",整理鞋盒，準備出行
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,米,名詞,食物,煮後變軟可食用,一種白色粉末狀食品
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,糖,名詞,調味,吃太多對胰臟不好,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,紅茶,名詞,喝,飲料店有在賣,飲料店常見的熱飲
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,綁鞋帶,動詞,動作,小朋友通常需要學習怎麼綁,幫忙將鞋子 snugly 細心地系緊
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,綁頭髮,動詞,動作,需要使用特定的工具來固定,整理束縛，準備外出
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,聊天,動詞,動作,在家裡、工作場合、咖啡廳等都很常見,與朋友分享你的想法和感受
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,自行車,名詞,交通工具,運動或代步皆適合,需要人力且輕便
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,芒果,名詞,水果,帶有濃郁的甜香氣味,鮮嫩多汁的黃色果實
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,草莓,名詞,水果,有綠色的蒂頭,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,菜刀,名詞,廚房用品,有中式、西式、切水果等種類,有中式、西式、切水果等種類
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,菜市場,名詞,購物場所,"肉攤師傅會熟練地切肉,依顧客需求分塊",
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,葡萄,名詞,水果,它的籽可以榨成油,它的紫色果皮上布滿了黑色的小點点
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,藥局,名詞,醫療場所,有些會提供血壓量測和領取口罩等服務,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,藥盒,名詞,輔具,有些時間到會發出聲音或震動,需要定期清潔或檢查保質期
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,蘋果,名詞,水果,可能會打蠟,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,蛋糕,名詞,食物,作為點心、非正餐,一種甜美的烘焙甜點
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,蛋餅,名詞,食物,有人會加醬油、胡椒鹽,煎炸後金黃酥脆的薄餅狀食物
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,衛生紙,名詞,生活用品,質地柔軟,"需要定期更换,保持清洁干净"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,衣服,名詞,服飾&配件,"冬天穿太少會冷,夏天穿太多會熱",冬天穿多少
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,衣櫃,名詞,家具,有木製、塑膠、金屬等材質,有木製、塑膠、金屬等材質
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,襪子,名詞,服飾&配件,棉或毛的材質,冬天穿太多会热
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,護膝,名詞,輔具,適合冬天或關節炎患者使用,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,豆漿,名詞,喝,可以加糖更好喝,飲料店常售-5元
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,豆腐,名詞,食物,可煎、炸、燉、炒,一種白色軟質食品
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,豆花,名詞,食物,一種用黃豆製成的甜點,一種由黃豆製成的甜品饮品
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,豬,名詞,動物,可做成肉乾食用,"有時大而笨重,有時瘦小,喜歡拱土刨"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,貓,名詞,動物,"有時很黏人,有時愛獨處,個性多變","有時很黏人,有時愛獨處,個性多變"
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,購物,動詞,休閒娛樂,節日會推出促銷活動吸引客人,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,超級市場,名詞,購物場所,一般會播放輕音樂,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,跳舞,動詞,休閒娛樂,與拍手、踩腳或轉圈的動作結合,與拍手、踩腳或轉圈的動作結合
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,輪椅,名詞,輔具,"某些款式可折疊,方便攜帶或存放",適合需要移動支援的人群使用
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,郵局,名詞,金融機構,有些人會來這裡繳水電費或其他帳單,透過信件和金錢交換服務
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,醫院,名詞,醫療場所,設有內科、外科、婦產科、小兒科等不同科別,透過專業人員和設備支援
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,量體溫,動詞,動作,需要使用特定的測量工具,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,鍋子,名詞,廚房用品,料理方式不同也需不同種類,炒菜用，圓形平底，易清洗
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,鏡子,名詞,家具,"用久會變髒,需要擦拭才能更清晰",
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,開門,動詞,動作,"轉動把手,讓進出口變暢通的動作",小心拉門把手，慢慢開啟門
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,除濕機,名詞,電器用品,會吹出熱熱的風,如何將濕气抽出去
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,雞,名詞,動物,"吃穀物、蟲子,有時候也會啄地上的食物",
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,雞排,名詞,食物,吃起來香脆多汁,一種外皮酥脆內裡嫩滑的小吃
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,電影院,名詞,娛樂場所,放映前會播預告片,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,電燈,名詞,電器用品,會連接開關,開關、燈泡、夜晚
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,電視,名詞,電器用品,阿嬤打開XX,開關、螢幕、頻道
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,電話,名詞,電器用品,有回撥功能,聽筒、鍵盤、連接線
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,電鍋,名詞,電器用品,內鍋、外鍋、加熱板、保溫開關,炒菜、煮飯、快速烹調
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,電風扇,名詞,電器用品,插電後即可使用,吹風、扇風、涼快
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,青椒,名詞,蔬菜,內部有籽和白色的膜,
