詞性,種類,細項,目標詞彙,提示,評分區(林治療師評分區),評分區(王治療師評分區),評分區(邱治療師評分區)
名詞,日常飲食,食物,米,X加水熬煮變成稀飯,2,4,1
名詞,日常飲食,食物,米,稻子成熟後，脫殼後變成X,6,3,2
名詞,日常飲食,食物,米,這是一包X,3,6,3
名詞,日常飲食,食物,水餃,麵皮包著內餡，冷凍儲存,4,4,6
名詞,日常飲食,食物,水餃,形狀像元寶，代表吉祥富貴,5,1,3
名詞,日常飲食,食物,水餃,煮的時候會浮起來，表示熟了,1,2,4
名詞,日常飲食,食物,水餃,我中午要吃XX,2,5,2
名詞,日常飲食,食物,水餃,我要自己包XX,3,6,1
名詞,日常飲食,食物,水餃,中國傳統的主食之一，常見於節慶或家庭聚會,6,3,5
名詞,日常飲食,食物,麵,由小麥製成的主食,6,5,5
名詞,日常飲食,食物,麵,我去麵店吃一碗X,1,3,1
名詞,日常飲食,食物,麵,媽媽煮一碗X,2,6,2
名詞,日常飲食,食物,麵,菜單上通常有湯、乾兩種主要吃法,3,1,4
名詞,日常飲食,食物,麵,在亞洲各國飲食文化中常見,5,2,6
名詞,日常飲食,食物,麵,有刀削、粗、細、雞蛋等多種,4,4,3
名詞,日常飲食,食物,牛肉麵,有分紅燒的跟清燉的,3,3,2
名詞,日常飲食,食物,牛肉麵,可以選寬麵、細麵，有時候可換冬粉,4,5,3
名詞,日常飲食,食物,牛肉麵,台灣特色小吃,5,4,5
名詞,日常飲食,食物,牛肉麵,我要吃一碗XXX,1,6,1
名詞,日常飲食,食物,牛肉麵,會加入酸菜一併食用,6,2,4
名詞,日常飲食,食物,牛肉麵,三商巧福,2,1,6
名詞,日常飲食,食物,蛋餅,早餐會吃的,3,5,2
名詞,日常飲食,食物,蛋餅,這是一塊XX,2,6,1
名詞,日常飲食,食物,蛋餅,有人會加醬油、胡椒鹽,6,4,3
名詞,日常飲食,食物,蛋餅,所有早餐店都會出現的品項,4,3,5
名詞,日常飲食,食物,蛋餅,通常被歸類在中式早餐那一類的,5,1,6
名詞,日常飲食,食物,蛋餅,明天你要吃蘿蔔糕還是XX?,1,2,4
名詞,日常飲食,食物,吐司,拉肚子的時候會吃的,5,4,5
名詞,日常飲食,食物,吐司,白色的方形麵包,1,1,2
名詞,日常飲食,食物,吐司,早餐店必備品項之一,3,5,4
名詞,日常飲食,食物,吐司,我去麵包店買一條XX,2,6,1
名詞,日常飲食,食物,吐司,大部分人不喜歡吃邊邊,6,2,3
名詞,日常飲食,食物,吐司,可直接吃也可以烤完再吃,4,3,6
名詞,日常飲食,食物,漢堡,常見於速食店與早餐店,4,4,4
名詞,日常飲食,食物,漢堡,兩片圓形麵包夾入菜肉蛋等配料,2,3,5
名詞,日常飲食,食物,漢堡,西式餐點,5,6,6
名詞,日常飲食,食物,漢堡,麥當勞、肯德基、麥味登、美而美,6,2,3
名詞,日常飲食,食物,漢堡,我要吃麥當勞的XX,1,1,1
名詞,日常飲食,食物,漢堡,你吃薯條我吃XX,3,5,2
名詞,日常飲食,食物,飯糰,主食是米,1,4,6
名詞,日常飲食,食物,飯糰,常作為早餐食用,4,5,5
名詞,日常飲食,食物,飯糰,飯中夾油條、肉鬆、蛋後捏實,5,1,3
名詞,日常飲食,食物,飯糰,食用時需邊吃邊捏緊,6,2,4
名詞,日常飲食,食物,飯糰,我早上吃了一個XX,2,6,2
名詞,日常飲食,食物,飯糰,這是一個飯X,3,3,1
名詞,日常飲食,食物,火鍋,料理方式是直接食材放入煮熟,1,2,6
名詞,日常飲食,食物,火鍋,有多種湯底，如麻辣、起司牛奶、番茄等,4,1,2
名詞,日常飲食,食物,火鍋,可以搭配肉類、海鮮、蔬菜、豆腐等食材,5,4,3
名詞,日常飲食,食物,火鍋,過年圍爐時會煮一鍋XX,2,3,1
名詞,日常飲食,食物,火鍋,冬天或聚會時特別受歡迎,6,5,4
名詞,日常飲食,食物,火鍋,我去餐廳吃XX,3,6,5
名詞,日常飲食,食物,豆腐,以黃豆製成的食品,2,2,3
名詞,日常飲食,食物,豆腐,顏色為白色，形狀通常為（長）方形,1,4,2
名詞,日常飲食,食物,豆腐,有嫩、板、百頁等種類,4,1,1
名詞,日常飲食,食物,豆腐,用於中式、日式與素食料理,5,3,6
名詞,日常飲食,食物,豆腐,可煎、炸、燉、炒,6,5,4
名詞,日常飲食,食物,豆腐,飯桌上有一盤煎XX,3,6,5
名詞,日常飲食,食物,地瓜球,通常是黃色，但也有其他顏色(紫、黑、綠),3,6,1
名詞,日常飲食,食物,地瓜球,地瓜加粉揉成小球後油炸做成,5,1,3
名詞,日常飲食,食物,地瓜球,常出現在夜市,1,3,4
名詞,日常飲食,食物,地瓜球,通常小份30大份50,4,4,6
名詞,日常飲食,食物,地瓜球,用紙袋裝，用竹籤戳著吃,6,5,5
名詞,日常飲食,食物,地瓜球,QQ的，外觀看起來是圓形,2,2,2
名詞,日常飲食,食物,雞排,通常用雞胸肉拍扁後裹粉油炸,4,2,5
名詞,日常飲食,食物,雞排,常出現在鹹酥雞攤或是夜市,1,1,4
名詞,日常飲食,食物,雞排,為台灣特色小吃,3,3,6
名詞,日常飲食,食物,雞排,會撒上胡椒粉、辣椒粉、梅粉等,5,4,3
名詞,日常飲食,食物,雞排,吃起來香脆多汁,6,5,2
名詞,日常飲食,食物,雞排,這是一塊炸XX,2,6,1
名詞,日常飲食,食物,冰淇淋,我要買一個XXX,2,6,1
名詞,日常飲食,食物,冰淇淋,小孩很愛吃的,3,4,2
名詞,日常飲食,食物,冰淇淋,叭噗!,1,1,3
名詞,日常飲食,食物,冰淇淋,可以選擇杯裝或餅乾裝,6,2,4
名詞,日常飲食,食物,冰淇淋,吃起來冰涼黏稠,5,5,5
名詞,日常飲食,食物,冰淇淋,溶化後像奶昔,4,3,6
名詞,日常飲食,食物,湯圓,一種由糯米粉製成的食品,5,6,6
名詞,日常飲食,食物,湯圓,口感Q彈，通常搭配甜湯,6,4,4
名詞,日常飲食,食物,湯圓,一顆圓圓的有的是白色有的是紅色,2,2,1
名詞,日常飲食,食物,湯圓,有甜的、鹹的兩種吃法,4,5,2
名詞,日常飲食,食物,湯圓,台灣農曆元宵節、冬至常見,1,1,3
名詞,日常飲食,食物,湯圓,吃了就會多一歲,3,3,5
名詞,日常飲食,食物,蛋糕,生日的時候會吃，還會在上面插蠟燭,1,1,4
名詞,日常飲食,食物,蛋糕,我要吃一塊XX,4,6,2
名詞,日常飲食,食物,蛋糕,我拿刀子切XX,3,5,1
名詞,日常飲食,食物,蛋糕,提拉米蘇、黑森林、起酥,6,2,3
名詞,日常飲食,食物,蛋糕,搭配茶或咖啡一起吃,2,3,5
名詞,日常飲食,食物,蛋糕,作為點心、非正餐,5,4,6
名詞,日常飲食,食物,豆花,一種用黃豆製成的甜點,4,5,6
名詞,日常飲食,食物,豆花,口感滑嫩，通常搭配糖水,5,4,5
名詞,日常飲食,食物,豆花,可以加珍珠、紅豆、綠豆等配料,3,3,3
名詞,日常飲食,食物,豆花,有冰的、熱的兩種吃法,2,2,2
名詞,日常飲食,食物,豆花,台灣夜市、傳統市場常見,1,6,4
名詞,日常飲食,食物,豆花,有些人會加薑汁增加風味,6,1,1
名詞,日常飲食,喝,豆漿,我吃燒餅油條配XX,2,2,2
名詞,日常飲食,喝,豆漿,中式飲品，以黃豆與水製成,6,1,3
名詞,日常飲食,喝,豆漿,常作為早餐搭配的飲品,3,5,4
名詞,日常飲食,喝,豆漿,這是一杯XX,4,6,1
名詞,日常飲食,喝,豆漿,可以加糖更好喝,5,3,5
名詞,日常飲食,喝,豆漿,最佳搭配是油條,1,4,6
名詞,日常飲食,喝,珍珠奶茶,很多飲料店都有賣的,1,5,3
名詞,日常飲食,喝,珍珠奶茶,是一種飲料甜甜的,3,4,4
名詞,日常飲食,喝,珍珠奶茶,要用大吸管才吸得起來,4,2,2
名詞,日常飲食,喝,珍珠奶茶,台灣人喜歡喝XXXX,2,1,1
名詞,日常飲食,喝,珍珠奶茶,會帶飲料提袋裝,5,3,5
名詞,日常飲食,喝,珍珠奶茶,自備飲料杯-5元,6,6,6
名詞,日常飲食,喝,紅茶,一種深色的茶飲，通常帶有苦味,5,2,4
名詞,日常飲食,喝,紅茶,加糖、檸檬或牛奶可以變成不同風味,4,4,2
名詞,日常飲食,喝,紅茶,我要喝冰XX,2,6,1
名詞,日常飲食,喝,紅茶,產地包括斯里蘭卡、印度、台灣等,6,1,5
名詞,日常飲食,喝,紅茶,通常需要熱水沖泡,3,3,3
名詞,日常飲食,喝,紅茶,飲料店有在賣,1,5,6
名詞,日常起居,服飾&配件,衣服,這是一件XX,1,4,1
名詞,日常起居,服飾&配件,衣服,天氣很熱我要脫XX,4,2,3
名詞,日常起居,服飾&配件,衣服,髒了會放到洗衣機洗,2,1,4
名詞,日常起居,服飾&配件,衣服,天氣很冷我要穿XX,5,3,2
名詞,日常起居,服飾&配件,衣服,平時不穿會放在櫃子裡,3,5,5
名詞,日常起居,服飾&配件,衣服,冬天穿太少會冷，夏天穿太多會熱,6,6,6
名詞,日常起居,服飾&配件,帽子,頭部穿戴的配件,1,1,4
名詞,日常起居,服飾&配件,帽子,有遮陽、防寒、裝飾等用途,3,3,2
名詞,日常起居,服飾&配件,帽子,有棒球帽、毛帽、紳士帽等款式,4,2,3
名詞,日常起居,服飾&配件,帽子,頂部通常有圓弧形結構,5,4,5
名詞,日常起居,服飾&配件,帽子,我戴一頂XX,2,5,1
名詞,日常起居,服飾&配件,帽子,冬天的款式有時會加內襯,6,6,6
名詞,日常起居,服飾&配件,襪子,穿在腳上保暖,1,5,2
名詞,日常起居,服飾&配件,襪子,聖誕老人會把禮物放在裡面,2,1,3
名詞,日常起居,服飾&配件,襪子,棉或毛的材質,5,6,5
名詞,日常起居,服飾&配件,襪子,穿鞋前，先穿上XX，腳才不會直接接觸鞋內,3,2,1
名詞,日常起居,服飾&配件,襪子,會成對的收好,4,3,6
名詞,日常起居,服飾&配件,襪子,穿著時會包裹住腳踝、腳跟和腳趾,6,4,4
名詞,日常起居,生活用品,牙刷,清潔牙齒的工具,1,3,3
名詞,日常起居,生活用品,牙刷,一端有長長的柄，一端有許多刷毛,5,5,6
名詞,日常起居,生活用品,牙刷,配合牙膏一起使用,3,2,4
名詞,日常起居,生活用品,牙刷,每天早上起床會使用XX,4,4,1
名詞,日常起居,生活用品,牙刷,要定期更換，不然毛會變形,6,6,5
名詞,日常起居,生活用品,牙刷,刷牙要用的,2,1,2
名詞,日常起居,生活用品,傘,下雨的時候人們會撐X,1,1,1
名詞,日常起居,生活用品,傘,有一根長長的柄，頂部是圓形的布面,3,4,6
名詞,日常起居,生活用品,傘,遇到強風時，X會開花,5,3,3
名詞,日常起居,生活用品,傘,用完後要晾乾，不然會發霉,6,6,5
名詞,日常起居,生活用品,傘,有長有短，有些可以收到包包裡,4,5,4
名詞,日常起居,生活用品,傘,出大太陽的時候人們會撐X,2,2,2
名詞,日常起居,生活用品,杯子,用來裝水、茶或咖啡等飲品的容器,4,2,2
名詞,日常起居,生活用品,杯子,有的有把手，方便拿取，底部平穩,2,4,3
名詞,日常起居,生活用品,杯子,有玻璃、陶瓷、不鏽鋼等材質,3,5,4
名詞,日常起居,生活用品,杯子,我們喝水會用XX,1,1,1
名詞,日常起居,生活用品,杯子,有圓形的開口,5,6,6
名詞,日常起居,生活用品,杯子,有些有保溫功能，能保持飲品的溫度,6,3,5
名詞,日常起居,生活用品,洗髮精,清潔頭髮會用的清潔劑,1,2,2
名詞,日常起居,生活用品,洗髮精,罐裝，擠出來是液體，通常會起泡沫,3,6,4
名詞,日常起居,生活用品,洗髮精,洗頭髮要用的,2,1,1
名詞,日常起居,生活用品,洗髮精,有些標榜無矽靈，適合細軟髮或敏感頭皮,6,3,6
名詞,日常起居,生活用品,洗髮精,常與潤髮乳一起使用,4,4,5
名詞,日常起居,生活用品,洗髮精,擠太多很難沖乾淨，洗頭時要適量使用,5,5,3
名詞,日常起居,生活用品,剪刀,刀刃銳利，可以輕鬆剪開紙張或布料,1,2,3
名詞,日常起居,生活用品,剪刀,由兩片金屬刀片交錯構成,4,4,4
名詞,日常起居,生活用品,剪刀,大部分是塑膠手柄,5,5,5
名詞,日常起居,生活用品,剪刀,需要按壓手柄才能使用,6,3,6
名詞,日常起居,生活用品,剪刀,這是一把XX,3,6,2
名詞,日常起居,生活用品,剪刀,用來剪開東西的,2,1,1
名詞,日常起居,生活用品,眼鏡,主要用來矯正視力,1,3,3
名詞,日常起居,生活用品,眼鏡,需根據個人視力度數進行定制,4,2,6
名詞,日常起居,生活用品,眼鏡,造型有圓的、方的，也有無框的,5,6,5
名詞,日常起居,生活用品,眼鏡,適用於閱讀、駕駛、日常生活或戶外活動,6,4,4
名詞,日常起居,生活用品,眼鏡,我帶一副XX,2,5,1
名詞,日常起居,生活用品,眼鏡,太陽XX,3,1,2
名詞,日常起居,生活用品,衛生紙,擦鼻涕要拿XXX,1,2,1
名詞,日常起居,生活用品,衛生紙,有抽取式、捲筒式、乾濕結合等類型,4,5,3
名詞,日常起居,生活用品,衛生紙,用於清潔與擦拭,3,4,5
名詞,日常起居,生活用品,衛生紙,上完廁所要用的,2,1,4
名詞,日常起居,生活用品,衛生紙,質地柔軟,6,6,6
名詞,日常起居,生活用品,衛生紙,舒潔XXX,5,3,2
名詞,日常起居,生活用品,毛巾,用來擦乾身體或臉部的布料,4,2,4
名詞,日常起居,生活用品,毛巾,柔軟吸水，通常是長方形,5,4,5
名詞,日常起居,生活用品,毛巾,洗完澡後會使用,1,5,3
名詞,日常起居,生活用品,毛巾,需要定期清洗，避免細菌孳生,6,6,6
名詞,日常起居,生活用品,毛巾,洗臉要用的,2,1,2
名詞,日常起居,生活用品,毛巾,這是一條XX,3,3,1
名詞,日常起居,家具,床,會躺在上面睡覺的家具,1,1,4
名詞,日常起居,家具,床,有單人、雙人，甚至還有上下舖的款式,6,4,3
名詞,日常起居,家具,床,這是一張X,2,5,1
名詞,日常起居,家具,床,比沙發大，能夠整個人躺平休息,5,2,5
名詞,日常起居,家具,床,有收納空間，底下可以放東西,4,6,6
名詞,日常起居,家具,床,上面有枕頭、棉被,3,3,2
名詞,日常起居,家具,鏡子,整理服裝會照XX,1,3,1
名詞,日常起居,家具,鏡子,表面是玻璃製作的,2,2,5
名詞,日常起居,家具,鏡子,能反射出你的樣子，讓你看到自己,3,1,2
名詞,日常起居,家具,鏡子,美容院、理髮店裡，一定會有大面XX,4,4,3
名詞,日常起居,家具,鏡子,試穿衣服時，會站在XX前面看看合不合適,5,5,4
名詞,日常起居,家具,鏡子,用久會變髒，需要擦拭才能更清晰,6,6,6
名詞,日常起居,家具,桌子,四隻腳的家具,1,5,6
名詞,日常起居,家具,桌子,常會跟椅子一起出現,2,1,3
名詞,日常起居,家具,桌子,這是一張XX,3,4,1
名詞,日常起居,家具,桌子,我把東西放在XX,4,6,2
名詞,日常起居,家具,桌子,吃飯時大家會圍著它坐下來,6,2,5
名詞,日常起居,家具,桌子,常為長方形或圓形，有時可以折疊,5,3,4
名詞,日常起居,家具,衣櫃,用來收納衣服的大型家具,1,4,3
名詞,日常起居,家具,衣櫃,通常有門可以關起來防塵,4,5,5
名詞,日常起居,家具,衣櫃,內部有掛衣桿和抽屜,5,3,4
名詞,日常起居,家具,衣櫃,有木製、塑膠、金屬等材質,6,6,6
名詞,日常起居,家具,衣櫃,衣服要掛在XX,2,1,1
名詞,日常起居,家具,衣櫃,衣服太多了所以要買XX,3,2,2
名詞,日常起居,電器用品,冰箱,牛奶放在XX,3,2,1
名詞,日常起居,電器用品,冰箱,通常放在廚房,1,6,4
名詞,日常起居,電器用品,冰箱,冷藏食物的地方,4,1,2
名詞,日常起居,電器用品,冰箱,用來儲藏食物,6,4,3
名詞,日常起居,電器用品,冰箱,長方形，有兩個門,5,5,6
名詞,日常起居,電器用品,冰箱,阿嬤從XX拿出菜和肉準備煮飯,2,3,5
名詞,日常起居,電器用品,瓦斯爐,阿嬤要煮菜會打開XXX,3,1,1
名詞,日常起居,電器用品,瓦斯爐,通常放在廚房,1,2,3
名詞,日常起居,電器用品,瓦斯爐,鍋子、鍋鏟,5,6,5
名詞,日常起居,電器用品,瓦斯爐,用來加熱食物,6,4,2
名詞,日常起居,電器用品,瓦斯爐,要特別注意安全,4,5,6
名詞,日常起居,電器用品,瓦斯爐,煮飯的工具,2,3,4
名詞,日常起居,電器用品,冷氣,在夏天或炎熱地區會使用,3,3,6
名詞,日常起居,電器用品,冷氣,有分體式、窗型、中央空調等類型,4,2,4
名詞,日常起居,電器用品,冷氣,利用壓縮機與冷媒降溫的電器,5,5,3
名詞,日常起居,電器用品,冷氣,開27度可以環保愛地球,6,6,5
名詞,日常起居,電器用品,冷氣,天氣很熱要打開XX,2,1,1
名詞,日常起居,電器用品,冷氣,爸爸坐在客廳吹XX,1,4,2
名詞,日常起居,電器用品,除濕機,台灣很濕，幾乎家家戶戶都有一台,1,1,4
名詞,日常起居,電器用品,除濕機,有些在室內曬衣服的會開,2,5,2
名詞,日常起居,電器用品,除濕機,會吹出熱熱的風,4,6,6
名詞,日常起居,電器用品,除濕機,水滿了就要倒掉,5,2,1
名詞,日常起居,電器用品,除濕機,可以有效避免家具發霉、壁癌,3,3,3
名詞,日常起居,電器用品,除濕機,作用跟加濕器相反,6,4,5
名詞,日常起居,電器用品,插座,我把插頭插在XX,1,1,1
名詞,日常起居,電器用品,插座,充電就需要用到,2,2,2
名詞,日常起居,電器用品,插座,延長線、豬鼻孔、插頭,3,5,3
名詞,日常起居,電器用品,插座,通電,5,6,5
名詞,日常起居,電器用品,插座,幫手機充電需要，XX、充電線、插頭,6,3,4
名詞,日常起居,電器用品,插座,家中的充電、供電系統,4,4,6
名詞,日常起居,電器用品,熱水瓶,用來煮熟生水的工具,6,5,4
名詞,日常起居,電器用品,熱水瓶,喝水前需要先煮過，這是煮沸的工具,5,2,3
名詞,日常起居,電器用品,熱水瓶,用來燒開水的工具,2,1,1
名詞,日常起居,電器用品,熱水瓶,通常需要插電,3,3,6
名詞,日常起居,電器用品,熱水瓶,煮沸後會跳起來,4,6,5
名詞,日常起居,電器用品,熱水瓶,加熱液體用的工具，通常用於加熱水,1,4,2
名詞,日常起居,電器用品,洗衣機,在清潔時，機器內部會轉動,2,4,3
名詞,日常起居,電器用品,洗衣機,把衣服丟進去清潔,1,2,2
名詞,日常起居,電器用品,洗衣機,需要加入水和清潔劑才能洗乾淨,4,3,4
名詞,日常起居,電器用品,洗衣機,洗乾淨後機器會用離心力脫水,5,5,6
名詞,日常起居,電器用品,洗衣機,會外接一根水管,6,6,5
名詞,日常起居,電器用品,洗衣機,髒衣服要丟進去XXX,3,1,1
名詞,日常起居,電器用品,手機,我正在滑XX,1,1,1
名詞,日常起居,電器用品,手機,現在人手一支XX,4,5,2
名詞,日常起居,電器用品,手機,打電話、連線網路、打視訊電話,5,2,4
名詞,日常起居,電器用品,手機,耳機、充電線、網路,6,6,6
名詞,日常起居,電器用品,手機,我XX沒電了,2,3,3
名詞,日常起居,電器用品,手機,通常人會隨身攜帶的,3,4,5
名詞,日常起居,電器用品,吸塵器 ,用來清潔地板、地毯或家具上的灰塵與髒汙,1,5,4
名詞,日常起居,電器用品,吸塵器 ,分為無線與有線兩種,6,6,5
名詞,日常起居,電器用品,吸塵器 ,手持式、拖地型、掃地機器人,5,4,3
名詞,日常起居,電器用品,吸塵器 ,DysonXXX,4,1,6
名詞,日常起居,電器用品,吸塵器 ,吸地、吸塵、打掃,3,2,2
名詞,日常起居,電器用品,吸塵器 ,打掃房間時，媽媽會拿XXX來吸地板,2,3,1
名詞,日常起居,電器用品,烤箱,用來烘焙食物,1,3,3
名詞,日常起居,電器用品,烤箱,會產生高溫，使用時要小心燙傷,4,2,4
名詞,日常起居,電器用品,烤箱,有旋風烤、上下火調整功能,5,1,6
名詞,日常起居,電器用品,烤箱,預熱、定時、溫度調整,6,4,5
名詞,日常起居,電器用品,烤箱,這是一台XX,3,6,1
名詞,日常起居,電器用品,烤箱,把麵包放進XX加熱一下,2,5,2
名詞,日常起居,電器用品,電鍋,家家戶戶常見的多功能炊煮工具,3,3,4
名詞,日常起居,電器用品,電鍋,可以煮飯、蒸菜、燉湯、煮粥,4,2,3
名詞,日常起居,電器用品,電鍋,內鍋、外鍋、加熱板、保溫開關,6,5,6
名詞,日常起居,電器用品,電鍋,需要加水來控制加熱時間,5,4,5
名詞,日常起居,電器用品,電鍋,煮飯要用XX,2,6,2
名詞,日常起居,電器用品,電鍋,大同XX,1,1,1
名詞,日常起居,電器用品,電話,與人通訊的工具,1,3,3
名詞,日常起居,電器用品,電話,我要打XX,3,1,1
名詞,日常起居,電器用品,電話,有0～9的數字按鍵,5,5,5
名詞,日常起居,電器用品,電話,有回撥功能,6,6,4
名詞,日常起居,電器用品,電話,我接到詐騙XX,4,2,2
名詞,日常起居,電器用品,電話,家裡、學校、辦公室等各種地方都有,2,4,6
名詞,日常起居,電器用品,電視,有遙控器，可以換頻道或控制音量,5,1,6
名詞,日常起居,電器用品,電視,放在客廳或房間裡，全家人常圍著看XX,1,6,1
名詞,日常起居,電器用品,電視,有線網路、第四台,3,2,4
名詞,日常起居,電器用品,電視,很多人吃飯配XX,2,5,2
名詞,日常起居,電器用品,電視,阿嬤打開XX,4,4,5
名詞,日常起居,電器用品,電視,有八點檔、新聞、綜藝節目、電影和卡通等節目,6,3,3
名詞,日常起居,電器用品,電燈,晚上暗暗的要開XX,2,1,1
名詞,日常起居,電器用品,電燈,裝在室內天花板、街道或戶外環境等,4,4,5
名詞,日常起居,電器用品,電燈,每個人家裡都有XX,3,5,2
名詞,日常起居,電器用品,電燈,會連接開關,6,6,6
名詞,日常起居,電器用品,電燈,可以照亮空間、提供光源的照明設備,1,2,3
名詞,日常起居,電器用品,電燈,可以設定白光、柔光、黃光,5,3,4
名詞,日常起居,電器用品,吹風機,用於吹乾頭髮和造型,1,1,1
名詞,日常起居,電器用品,吹風機,頭髮濕掉時要用的,3,2,2
名詞,日常起居,電器用品,吹風機,插入電源才能使用，和其他電器一起用可能跳電,5,4,3
名詞,日常起居,電器用品,吹風機,適合家庭、理髮店或旅遊時使用,2,3,5
名詞,日常起居,電器用品,吹風機,附有風嘴、擴散器等，用於不同造型需求,6,5,4
名詞,日常起居,電器用品,吹風機,部分有折疊設計，方便攜帶,4,6,6
名詞,日常起居,電器用品,電風扇,炎熱時用來吹風降溫,1,4,3
名詞,日常起居,電器用品,電風扇,有立式、桌上型、吊掛式等多種款式,5,3,4
名詞,日常起居,電器用品,電風扇,葉片會一直旋轉，頭也會一直轉,6,2,5
名詞,日常起居,電器用品,電風扇,這是一台XXX,2,6,2
名詞,日常起居,電器用品,電風扇,插電後即可使用,4,5,6
名詞,日常起居,電器用品,電風扇,天氣熱要吹XXX,3,1,1
名詞,日常起居,輔具,拐杖,一種幫助行走的輔助工具,4,1,3
名詞,日常起居,輔具,拐杖,通常由木頭、鋁合金或碳纖維製成,5,4,6
名詞,日常起居,輔具,拐杖,有標準型、四腳型或摺疊款式,6,5,5
名詞,日常起居,輔具,拐杖,在行走時可減少跌倒風險,3,6,4
名詞,日常起居,輔具,拐杖,特別適合行動不便、腳有受傷的人使用,2,3,2
名詞,日常起居,輔具,拐杖,阿嬤走路會使用XX,1,2,1
名詞,日常起居,輔具,助聽器,幫助聽力較弱的人放大外界聲音,1,1,2
名詞,日常起居,輔具,助聽器,依據使用者的聽力狀況調整音量與頻率,4,3,4
名詞,日常起居,輔具,助聽器,佩戴在耳朵上,2,2,1
名詞,日常起居,輔具,助聽器,需要定期更換電池或充電,5,6,6
名詞,日常起居,輔具,助聽器,初次使用需要適應，避免回音或雜音干擾,6,4,5
